,X,Y
0,10080.658787634198,3065.9467988754677
1,10081.656182339933,3065.936154076927
2,10082.606459519326,3065.877744467469
3,10083.510933186682,3065.7732553270544
4,10084.370917356313,3065.624371935645
5,10085.187726042528,3065.4327795732033
6,10085.962673259628,3065.2001635196902
7,10086.697073021927,3064.928209055065
8,10087.392239343737,3064.618601459292
9,10088.049486239364,3064.273026012333
10,10088.670127723111,3063.8931679941466
11,10089.2554778093,3063.4807126846977
12,10089.806850512228,3063.037345363946
13,10090.325559846206,3062.564751311851
14,10090.812919825545,3062.064615808378
15,10091.270244464553,3061.538624133487
16,10091.698847777536,3060.9884615671385
17,10092.100043778806,3060.4158133892947
18,10092.475146482673,3059.822364879918
19,10092.82546990344,3059.2098013189693
20,10093.15232805542,3058.5798079864094
21,10093.457034952924,3057.934070162201
22,10093.740904610251,3057.274273126304
23,10094.005251041719,3056.6021021586803
24,10094.251388261633,3055.9192425392926
25,10094.480630284303,3055.2273795481015
26,10094.694291124035,3054.5281984650683
27,10094.89368479514,3053.8233845701557
28,10095.0801253119,3053.114623143278
29,10095.254757168494,3052.4033248308765
30,10095.418058047924,3051.6898200023675
31,10095.570341701045,3050.974173446511
32,10095.711921878692,3050.2564499520686
33,10095.843112331722,3049.5367143078056
34,10095.964226810976,3048.815031302483
35,10096.075579067303,3048.091465724863
36,10096.17748285155,3047.36608236371
37,10096.270251914557,3046.6389460077853
38,10096.354200007177,3045.9101214458506
39,10096.429640880255,3045.1796734666696
40,10096.496888284639,3044.447666859005
41,10096.55625597117,3043.714166411618
42,10096.608057690704,3042.9792369132747
43,10096.652607194077,3042.2429431527335
44,10096.690218232143,3041.5053499187584
45,10096.721204555744,3040.766522000113
46,10096.745879915727,3040.026524185559
47,10096.764558062941,3039.285421263859
48,10096.777552748228,3038.5432780237757
49,10096.785177722442,3037.800159254072
50,10096.787746736423,3037.05612974351
51,10096.78557354102,3036.311254280852
52,10096.77897188708,3035.565597654862
53,10096.768255525449,3034.819224654301
54,10096.753738206973,3034.072200067933
55,10096.735733682499,3033.324588684519
56,10096.714555702873,3032.576455292823
57,10096.69051801894,3031.827864681606
58,10096.66393438155,3031.0788816396325
59,10096.635118541548,3030.329570955664
60,10096.604384249778,3029.579997418463
61,10096.572045257091,3028.8302258167923
62,10096.538415314331,3028.0803209394144
63,10096.503808172341,3027.3303475750913
64,10096.468537581977,3026.5803705125877
65,10096.432917294074,3025.8304545406636
66,10096.397261059488,3025.0806644480836
67,10096.36188262906,3024.331065023608
68,10096.327095753639,3023.5817210560017
69,10096.29321418407,3022.8326973340254
70,10096.260551671201,3022.0840586464433
71,10096.229421965878,3021.3358697820177
72,10096.200138818946,3020.58819552951
73,10096.17301598125,3019.8411006776832
74,10096.148367203645,3019.0946500153013
75,10096.12650623697,3018.348908331126
76,10096.107746832071,3017.6039404139187
77,10096.092402739796,3016.8598110524435
78,10096.080787710993,3016.116585035462
79,10096.073215496508,3015.374327151737
80,10096.069999847186,3014.6331021900323
81,10096.071454513874,3013.892974939108
82,10096.077893247422,3013.154010187729
83,10096.089629798673,3012.4162727246576
84,10096.106977918476,3011.6798273386567
85,10096.130251357677,3010.944738818487
86,10096.159763867116,3010.2110719529114
87,10096.195829197646,3009.4788915306935
88,10096.238761100112,3008.748262340596
89,10096.28887332536,3008.0192491713806
90,10096.346479624237,3007.2919168118096
91,10096.41189374759,3006.566330050647
92,10096.485429446268,3005.8425536766545
93,10096.56740047111,3005.120652478595
94,10096.65812057297,3004.4006912452314
95,10096.75790350269,3003.6827347653243
96,10096.867063011112,3002.966847827638
97,10096.985912849095,3002.2530952209354
98,10097.114766767478,3001.541541733978
99,10097.253938517111,3000.83225215553
100,10097.403741848837,3000.1252912743525
